name ts   x y z   roll pitch yaw  err delay
HR_6 1776353915.203928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   6e-06
QR_4 1776353915.203928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   6e-06
HR_6 1776353915.213928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000188
QR_4 1776353915.213928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000188
HR_6 1776353915.223928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.8e-05
QR_4 1776353915.223928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.8e-05
HR_6 1776353915.233928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.9e-05
QR_4 1776353915.233928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.9e-05
HR_6 1776353915.243928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5.3e-05
QR_4 1776353915.243928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5.3e-05
HR_6 1776353915.253928000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.3e-05
QR_4 1776353915.253928000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.3e-05
HR_6 1776353915.263922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1e-06
QR_4 1776353915.263922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1e-06
HR_6 1776353915.273922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.000262
QR_4 1776353915.273922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.000262
HR_6 1776353915.283922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   7e-06
QR_4 1776353915.283922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   7e-06
HR_6 1776353915.293922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   2.2e-05
QR_4 1776353915.293922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   2.2e-05
HR_6 1776353915.303922000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   0.001
QR_4 1776353915.303922000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   0.001
