# logged on Tue Apr 28 09:38:20 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1777369100.330218000  9.98248 0 11.7042  16  nan  -0.000293826 -0.00184487 0.00222265  0.00106526 -0.00213053 0.00319579  -0.00699621 0.00233064 9.80189  0.00479004 0.0167651 9.78365  nan nan nan  nan nan nan  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0
1777369106.938173000  1039.2 0 20.8069  -  nan  0.0711023 0.147119 -0.245999  -0.0399474 0.169377 -0.25087  -0.396048 -0.779036 9.7561  -1.5855 2.39502 9.83156  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.939206000  1039.2 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.2142 60.6897 73.3378 70.3562 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.940191000  1044.44 0 20.8069  -  nan  0.0587052 0.149603 -0.246543  -0.0399474 0.169377 -0.25087  -0.432278 -0.682358 9.7584  -1.5855 2.39502 9.83156  - - -  - - -  74.5478 60.5251 73.4904 69.937 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.941203000  1045.02 0 20.8069  -  nan  0.0476921 0.151811 -0.247026  -0.0399474 0.169377 -0.25087  -0.467404 -0.588624 9.76063  -1.5855 2.39502 9.83156  - - -  - - -  74.5478 60.5251 73.4904 69.937 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.942173000  1045.02 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.7115 60.8719 73.4791 69.4708 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.949056000  1038.36 0 20.8069  -  nan  0.0316056 0.162513 -0.26232  -0.0964064 0.247674 -0.384028  -0.428145 -0.649846 9.73624  0.821492 -2.5986 8.95977  - - -  - - -  74.7115 60.8719 73.4791 69.4708 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369106.951505000  1038.36 0 20.8069  -  nan  -0.0078648 0.171297 -0.287416  -0.174171 0.19015 -0.385626  -0.256644 -0.531698 9.85245  2.33754 1.54479 11.6829  - - -  - - -  75.8463 61.2319 73.3239 68.158 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.952195000  1038.36 0 20.8069  -  nan  -0.0264304 0.173401 -0.298379  -0.174171 0.19015 -0.385626  -0.177627 -0.46845 9.90821  2.33754 1.54479 11.6829  - - -  - - -  75.8463 61.2319 73.3239 68.158 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.953272000  1047.91 0 20.8069  -  nan  -0.0429234 0.175271 -0.308119  -0.174171 0.19015 -0.385626  -0.101018 -0.407129 9.96226  2.33754 1.54479 11.6829  - - -  - - -  76.232 61.5409 73.4191 67.2706 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.954219000  1047.96 0 20.8069  -  nan  -0.0581104 0.172948 -0.315761  -0.178964 0.154463 -0.376571  -0.161699 -0.428431 10.0277  -2.09325 -1.1065 12.1116  - - -  - - -  76.4583 61.7652 73.5165 66.6603 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.955189000  1047.53 0 20.8069  -  nan  -0.071602 0.170885 -0.322549  -0.178964 0.154463 -0.376571  -0.220532 -0.449084 10.0912  -2.09325 -1.1065 12.1116  - - -  - - -  76.697 62.15 73.5985 66.0843 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.956188000  1055.73 0 20.8069  -  nan  -0.0835874 0.169051 -0.32858  -0.178964 0.154463 -0.376571  -0.277573 -0.469109 10.1527  -2.09325 -1.1065 12.1116  - - -  - - -  76.8158 62.3893 73.7655 65.4922 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.957191000  1055.73 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  76.8876 62.5794 73.9208 65.0044 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.958197000  1050.31 0 20.8069  -  nan  -0.0942348 0.167423 -0.333938  -0.178964 0.154463 -0.376571  -0.332877 -0.488523 10.2124  -2.09325 -1.1065 12.1116  - - -  - - -  76.9432 62.7472 74.0682 64.558 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.959346000  1049.38 0 20.8069  -  nan  -0.101613 0.158722 -0.346189  -0.160322 0.0894822 -0.443683  -0.255989 -0.509097 10.1508  2.19144 -1.16398 8.18857  - - -  - - -  76.9432 62.7472 74.0682 64.558 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.960879000  1050.12 0 20.8069  -  nan  -0.108167 0.150992 -0.357073  -0.160322 0.0894822 -0.443683  -0.181442 -0.529044 10.091  2.19144 -1.16398 8.18857  - - -  - - -  76.9432 62.7472 74.0682 64.558 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.961172000  1050.12 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.963325000  1051.81 0 20.8069  -  nan  -0.1128 0.144304 -0.366385  -0.14967 0.0910801 -0.440487  -0.106175 -0.490461 10.151  2.28964 0.737666 12.0613  - - -  - - -  77.006 62.8117 74.538 63.7479 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.964618000  1051.81 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  77.0289 62.702 74.878 63.371 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.965270000  1047.12 0 20.8069  -  nan  -0.120959 0.14639 -0.367225  -0.185889 0.162985 -0.373908  -0.0903941 -0.418767 10.1801  0.411943 1.86333 11.1057  - - -  - - -  77.0289 62.702 74.878 63.371 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369106.967655000  1048.76 0 20.8069  -  nan  -0.128208 0.148242 -0.367971  -0.185889 0.162985 -0.373908  -0.0750934 -0.349257 10.2083  0.411943 1.86333 11.1057  - - -  - - -  77.2279 62.797 75.1743 62.7175 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.968240000  1045.46 0 20.8069  -  nan  -0.134647 0.149888 -0.368633  -0.185889 0.162985 -0.373908  -0.0602587 -0.281864 10.2356  0.411943 1.86333 11.1057  - - -  - - -  77.2333 62.7655 75.1655 62.7193 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.971139000  1045.46 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  77.3614 63.0516 75.0589 62.2487 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.971182000  1045.46 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.972191000  1041.07 0 20.8069  -  nan  -0.146114 0.148313 -0.367785  -0.173638 0.162985 -0.379767  -0.129824 -0.324148 10.2627  -0.58678 -1.20469 11.2255  - - -  - - -  77.368 63.0251 75.0472 62.2423 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.977332000  1044.78 0 20.8069  -  nan  -0.149662 0.142637 -0.373523  -0.177899 0.0974717 -0.419182  -0.10362 -0.316318 10.2152  0.730481 -0.0670605 8.7059  - - -  - - -  77.368 63.0251 75.0472 62.2423 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.978180000  1040.18 0 20.8069  -  nan  -0.15329 0.131827 -0.370474  -0.18216 0.0458064 -0.346211  -0.102652 -0.307704 10.2563  -0.0718506 -0.0335303 11.5632  - - -  - - -  77.6281 63.3043 74.7855 61.8584 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.979179000  1039.97 0 20.8069  -  nan  -0.156513 0.122224 -0.367765  -0.18216 0.0458064 -0.346211  -0.101714 -0.299353 10.2961  -0.0718506 -0.0335303 11.5632  - - -  - - -  77.6195 63.2752 74.929 61.6947 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.982364000  1035.92 0 20.8069  -  nan  -0.16192 0.106115 -0.363221  -0.18216 0.0458064 -0.346211  -0.0999223 -0.283406 10.3721  -0.0718506 -0.0335303 11.5632  - - -  - - -  77.6195 63.2752 74.929 61.6947 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.983181000  1035.92 0 20.8069  -  nan  -0.166558 0.0924254 -0.35829  -0.203466 -0.0165116 -0.319047  -0.0786413 -0.292501 10.3516  0.598755 -0.58199 9.69983  - - -  - - -  77.4236 63.6899 75.0903 61.3786 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.985353000  1040.91 0 20.8069  -  nan  -0.174338 0.0694606 -0.350017  -0.203466 -0.0165116 -0.319047  -0.0380041 -0.309867 10.3125  0.598755 -0.58199 9.69983  - - -  - - -  76.6614 64.055 75.5466 61.2482 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.986194000  1040.72 0 20.8069  -  nan  -0.176698 0.0537387 -0.351911  -0.195476 -0.0713727 -0.366984  -0.028895 -0.262276 10.3465  0.261057 1.2526 11.429  - - -  - - -  76.1092 64.349 75.8607 61.1967 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.987300000  1040.56 0 20.8069  -  nan  -0.180102 0.0351934 -0.354248  -0.207194 -0.112385 -0.372843  -0.0612801 -0.222117 10.3592  -1.09213 1.0562 10.7632  - - -  - - -  76.1092 64.3292 75.853 61.1842 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.988180000  1040.06 0 20.8069  -  nan  -0.183127 0.0187184 -0.356324  -0.207194 -0.112385 -0.372843  -0.0926787 -0.18318 10.3715  -1.09213 1.0562 10.7632  - - -  - - -  75.6366 64.4353 76.2948 61.0495 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.991742000  1040.06 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  75.6366 64.4353 76.2948 61.0495 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.993445000  1036.37 0 20.8069  -  nan  -0.191344 0.00354409 -0.357785  -0.222108 -0.0532632 -0.363255  -0.237262 -0.180525 10.2541  -2.5028 -0.138911 8.4137  - - -  - - -  75.293 64.401 76.6529 60.8453 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.995275000  1045.37 0 20.8069  -  nan  -0.194778 -0.00279761 -0.358396  -0.222108 -0.0532632 -0.363255  -0.306268 -0.179257 10.198  -2.5028 -0.138911 8.4137  - - -  - - -  74.5396 65.036 77.5782 59.9928 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.996424000  1043.58 0 20.8069  -  nan  -0.196343 -0.00474479 -0.353824  -0.208792 -0.02024 -0.317449  -0.358218 -0.205166 10.1522  -2.01182 -1.02986 8.69392  - - -  - - -  74.5212 65.0136 77.5845 59.9563 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.997209000  1043.58 0 20.8069  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.3755 65.0764 77.7442 59.8372 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.998196000  1046.77 0 17.2017  -  nan  -0.205592 0.00939257 -0.353342  -0.240217 0.062318 -0.351537  -0.17624 -0.183519 10.1281  2.67524 0.155676 9.75012  - - -  - - -  74.3755 65.0764 77.7442 59.8372 - - - - 75.1089 24.7312 56.912 64.6998 37.4389 5.547 76.3126 56.9892 14.591 60.4303 8.5044 57.728 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369106.999189000  1046.31 0 17.2017  -  nan  -0.207138 0.00661968 -0.354925  -0.219444 -0.0154463 -0.367516  -0.146725 -0.078498 10.094  0.792751 3.26441 9.00767  - - -  - - -  74.2036 65.1812 77.7802 59.8268 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.000723000  1047.83 0 17.2017  -  nan  -0.208512 0.00415633 -0.35633  -0.219444 -0.0154463 -0.367516  -0.11811 0.0233238 10.0609  0.792751 3.26441 9.00767  - - -  - - -  74.2036 65.1812 77.7802 59.8268 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.001197000  1047.83 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.002822000  1047 0 17.2017  -  nan  -0.208484 0.0122547 -0.350146  -0.208259 0.076699 -0.300937  -0.228314 0.0193306 10.0803  -3.73623 -0.107776 10.6986  - - -  - - -  74.2036 65.1812 77.7802 59.8268 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369107.005233000  1044.61 0 17.2017  -  nan  -0.208459 0.0194489 -0.344653  -0.208259 0.076699 -0.300937  -0.335162 0.0154591 10.0991  -3.73623 -0.107776 10.6986  - - -  - - -  74.4672 65.4955 77.5891 59.3506 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.006825000  1047.68 0 17.2017  -  nan  -0.208853 0.0184669 -0.33674  -0.211988 0.0106526 -0.273773  -0.381125 -0.0791173 10.063  -1.84417 -3.08958 8.91426  - - -  - - -  74.6964 65.8338 77.2476 59.1427 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369107.007165000  1047.68 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.008186000  1045.02 0 17.2017  -  nan  -0.203554 0.0165838 -0.331733  -0.161388 0.0015979 -0.291882  -0.350549 -0.17446 10.0424  0.622705 -3.20933 9.38608  - - -  - - -  74.5815 66.0615 76.969 59.3306 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.009182000  1045.02 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.57 66.061 76.9781 59.3012 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.010193000  1045.02 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.4088 66.0228 76.9124 59.6086 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.011167000  1045.02 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.396 66.0175 76.9233 59.5861 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.012251000  1037.06 0 17.2017  -  nan  -0.18765 0.0109315 -0.316702  -0.161388 0.0015979 -0.291882  -0.23728 -0.527663 9.96604  0.622705 -3.20933 9.38608  - - -  - - -  74.396 66.0175 76.9233 59.5861 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.016073000  1037.06 0 17.2017  -  nan  -0.179604 0.0204735 -0.320472  -0.115581 0.0964064 -0.350472  -0.148203 -0.559665 9.9839  2.68721 -1.57832 10.5525  - - -  - - -  74.3715 66.0072 76.9439 59.5435 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.016163000  1037.06 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.017194000  1037.06 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  73.9703 65.9594 76.9077 60.1777 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.018200000  1050.35 0 17.2017  -  nan  -0.165811 0.0384429 -0.321029  -0.112918 0.113983 -0.298807  -0.0725026 -0.470425 9.99984  -0.411943 3.35782 9.9561  - - -  - - -  73.9703 65.9594 76.9077 60.1777 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.019218000  1050.35 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.5792 65.3501 76.4375 60.6197 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.020206000  1050.67 0 17.2017  -  nan  -0.156444 0.0462214 -0.312776  -0.128897 0.0410127 -0.266849  -0.138314 -0.414169 9.98664  -1.90404 -2.33514 9.60882  - - -  - - -  74.5769 65.3292 76.4394 60.6184 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.021198000  1050.4 0 17.2017  -  nan  -0.153369 0.0456399 -0.307649  -0.128897 0.0410127 -0.266849  -0.192096 -0.47268 9.97513  -1.90404 -2.33514 9.60882  - - -  - - -  74.7321 65.1439 76.0304 61.1084 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.022176000  1050.4 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  74.7321 65.1439 76.0304 61.1084 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.023250000  1050.44 0 17.2017  -  nan  -0.151466 0.0544331 -0.309378  -0.144343 0.0873517 -0.315851  -0.178704 -0.622054 10.0157  0.0311353 -2.96264 10.6507  - - -  - - -  74.7321 65.1439 76.0304 61.1084 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.024206000  1049.86 0 17.2017  -  nan  -0.144071 0.0573944 -0.321339  -0.0852212 0.0809601 -0.416518  -0.0849916 -0.608651 9.98225  2.89797 -0.182021 8.91905  - - -  - - -  75.0129 65.0731 75.7624 61.4307 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.025203000  1048.74 0 17.2017  -  nan  -0.137501 0.0600252 -0.331964  -0.0852212 0.0809601 -0.416518  0.00586662 -0.595656 9.94987  2.89797 -0.182021 8.91905  - - -  - - -  75.0129 65.0731 75.7624 61.4307 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.028209000  1051.27 0 17.2017  -  nan  -0.136125 0.0626596 -0.338966  -0.125169 0.0836233 -0.39468  0.036254 -0.514192 9.9586  1.00351 2.07888 10.2363  - - -  - - -  75.0129 65.0731 75.7624 61.4307 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369107.032956000  1044.23 0 17.2017  -  nan  -0.133815 0.0670789 -0.350711  -0.125169 0.0836233 -0.39468  0.0942801 -0.358633 9.97526  1.00351 2.07888 10.2363  - - -  - - -  75.5321 64.2088 75.9286 61.3974 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369107.035197000  1050.24 0 17.2017  -  nan  -0.13285 0.0689258 -0.355619  -0.125169 0.0836233 -0.39468  0.121974 -0.284389 9.98321  1.00351 2.07888 10.2363  - - -  - - -  76.3423 63.9155 75.8852 60.7575 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.036195000  1044.86 0 17.2017  -  nan  -0.134192 0.0786532 -0.358018  -0.144876 0.156061 -0.377104  0.135475 -0.326208 9.96451  0.565225 -1.65735 9.36932  - - -  - - -  76.4882 63.8006 75.9039 60.6393 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.038526000  1044.86 0 17.2017  -  -  - - -  - - -  - - -  - - -  - - -  - - -  76.4882 63.8006 75.9039 60.6393 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.039182000  1045.91 0 17.2017  -  nan  -0.135385 0.0872947 -0.360148  -0.144876 0.156061 -0.377104  0.148565 -0.366754 9.94638  0.565225 -1.65735 9.36932  - - -  - - -  76.7841 63.7308 75.6967 60.5309 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.040186000  1042.8 0 17.2017  -  nan  -0.133174 0.0969931 -0.361922  -0.115581 0.174171 -0.376038  0.156879 -0.311667 9.95215  0.421523 1.4418 10.1357  - - -  - - -  76.8015 63.7077 75.681 60.5203 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.041209000  1042.54 0 17.2017  -  nan  -0.13121 0.105609 -0.363498  -0.115581 0.174171 -0.376038  0.16494 -0.258258 9.95774  0.421523 1.4418 10.1357  - - -  - - -  77.3012 63.5861 75.308 60.4562 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.042184000  1041.54 0 17.2017  -  nan  -0.129465 0.113263 -0.364898  -0.115581 0.174171 -0.376038  0.172755 -0.206476 9.96316  0.421523 1.4418 10.1357  - - -  - - -  77.315 63.5714 75.2955 60.4491 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.043184000  1041.73 0 17.2017  -  nan  -0.128094 0.127019 -0.359839  -0.117179 0.236489 -0.319579  0.159031 -0.166849 9.9226  -0.277822 1.09452 8.63165  - - -  - - -  77.7749 63.7629 74.9438 60.2677 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.044191000  1041.09 0 17.2017  -  nan  -0.13074 0.136742 -0.343215  -0.1518 0.214118 -0.210922  0.132302 -0.15294 9.8924  -0.718506 0.289797 8.93103  - - -  - - -  77.7749 63.7629 74.9438 60.2677 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.046271000  1040.75 0 18.5795  -  nan  -0.133091 0.14538 -0.328446  -0.1518 0.214118 -0.210922  0.106387 -0.139454 9.86312  -0.718506 0.289797 8.93103  - - -  - - -  78.213 63.7208 74.4149 60.3567 - - - - 78.064 21.7009 5.687 63.3232 39.0029 6.128 75.5858 31.085 63.103 60.2773 42.131 62.173 - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369107.047183000  1040.75 0 18.5795  -  -  - - -  - - -  - - -  - - -  - - -  - - -  78.213 63.7208 74.4149 60.3567 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.048259000  1040.75 0 18.5795  -  -  - - -  - - -  - - -  - - -  - - -  - - -  78.213 63.7208 74.4149 60.3567 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.049655000  1038.84 0 18.5795  -  nan  -0.135239 0.14707 -0.287278  -0.143278 0.153398 -0.133158  0.0633674 -0.154652 9.98838  -0.61073 -0.392783 11.9511  - - -  - - -  78.2586 64.3535 73.4391 60.7494 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.050207000  1038.84 0 18.5795  -  -  - - -  - - -  - - -  - - -  - - -  - - -  78.2586 64.3535 73.4391 60.7494 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.051180000  1038.84 0 18.5795  -  -  - - -  - - -  - - -  - - -  - - -  - - -  77.7628 65.097 72.7321 61.3965 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.052202000  1045.5 0 18.5795  -  nan  -0.136821 0.147955 -0.267588  -0.142745 0.151268 -0.193878  0.128675 -0.155431 9.8307  1.152 -0.167651 7.3599  - - -  - - -  77.7628 65.097 72.7321 61.3965 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.054212000  1045.5 0 18.5795  -  -  - - -  - - -  - - -  - - -  - - -  - - -  77.7943 65.0843 72.6989 61.3685 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.055206000  1046.18 0 18.5795  -  nan  -0.137066 0.15219 -0.262571  -0.139017 0.185889 -0.22264  0.109582 -0.101091 9.88689  -0.498164 1.62861 11.6757  - - -  - - -  77.8526 65.0606 72.6372 61.3164 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.056651000  1044 0 18.5795  -  nan  -0.137284 0.155952 -0.258113  -0.139017 0.185889 -0.22264  0.0910708 -0.0484061 9.94138  -0.498164 1.62861 11.6757  - - -  - - -  77.4213 66.0213 72.175 61.5756 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369107.057182000  1043.81 0 18.5795  -  nan  -0.134326 0.155072 -0.249634  -0.110788 0.148072 -0.18216  0.058971 -0.0486825 9.89127  -0.962798 -0.0574805 8.29635  - - -  - - -  77.4393 66.1083 72.0131 61.6123 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
